name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
system_commands{name="bevy_anti_alias::fxaa::prepare_fxaa_pipelines"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,54,2342177,0.001821,27078,86,50,42537,259.357374
plugin build{plugin="bevy_app::propagate::HierarchyPropagatePlugin<bevy_ui::ui_node::ComputedUiTargetCamera>"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs,529,105477,0.000082,1,105477,105477,105477,0.000000
system{name="bevy_sprite_render::mesh2d::mesh::prepare_mesh2d_bind_group"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,7387493,0.005742,27078,272,94,20765,212.125192
system_commands{name="bevy_pbr::deferred::insert_deferred_lighting_pass_id_component"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,54,2306873,0.001793,27079,85,50,88763,727.338652
system{name="bevy_pbr::render::fog::prepare_fog"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,356850517,0.277383,27078,13178,1981,240586,13935.518223
system{name="forgia_mode_roguelite::mushrooms::sys_init_mushroom_assets"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,47080,0.000037,1,47080,47080,47080,0.000000
system{name="forgia_killfeed::draw_killfeed"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,274865547,0.213655,27079,10150,99,154191,14021.600091
system{name="bevy_state::state::transitions::last_transition<forgia_core::states::WorldMode>"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,7581986,0.005894,81240,93,53,86397,448.988872
system{name="forgia_mode_roguelite::enemy_scaling::sys_hot_reload_enemy_scaling"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,11455304,0.008904,25752,444,87,84953,2682.052262
system{name="forgia_enemy_nameplate::sensor_write"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,9310263,0.007237,27079,343,89,131121,1205.188361
system{name="forgia_mode_roguelite::audio::sys_sfx_on_combat_hit"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,6648286,0.005168,25752,258,86,7520,174.460576
system{name="forgia_effects::hitmarker::draw_hitmarker"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,6998763,0.005440,27079,258,62,51971,503.088200
system{name="bevy_rapier3d::plugin::systems::rigid_body::init_rigid_bodies"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,7671898,0.005963,7925,968,155,61729,1066.417144
plugin cleanup{plugin="bevy_winit::cursor::WinitCursorPlugin"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs,292,56,0.000000,1,56,56,56,0.000000
system{name="bevy_asset::assets::Assets<bevy_gltf::assets::GltfNode>::asset_events"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,62101,0.000048,16,3881,505,17693,5850.107594
plugin build{plugin="forgia_mode_roguelite::parcours_obstacles::ParcoursObstaclesPlugin"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs,529,37984,0.000030,1,37984,37984,37984,0.000000
