name;src_file;src_line;total_ns;total_perc;counts;mean_ns;min_ns;max_ns;std_ns
node{name="bevy_render::render_graph::camera_driver_node::CameraDriverNode"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_render-0.18.1\src\renderer\graph_runner.rs;240;69399829;0.075011;18162;3821;2167;85055;1528.781836
plugin build{plugin="forgia_core::ForgiaCorePlugin"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;529;155348;0.000168;1;155348;155348;155348;0.000000
system{name="bevy_asset::assets::Assets<forgia_genome_core::Genome<forgia_mode_fps_arena::wave::ArenaWavesGenome>>::asset_events_condition"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;2082540;0.002251;18163;114;55;5327;67.990549
schedule{name=FixedUpdate};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\schedule\schedule.rs;532;2262200081;2.445109;5734;394523;115222;44100429;783439.285755
system{name="bevy_sprite_render::mesh2d::material::check_entities_needing_specialization<bevy_sprite_render::mesh2d::color_material::ColorMaterial>"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;24319995;0.026286;18163;1338;315;94080;1449.361791
system{name="bevy_asset::assets::Assets<forgia_genome_core::Genome<forgia_stage::authored::ArenaLayoutsGenome>>::asset_events"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;485;0.000001;1;485;485;485;0.000000
system{name="forgia_auto_rig::debug_gizmos::draw_rig_gizmos"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;66396862;0.071765;18163;3655;535;514026;26191.658912
system_commands{name="forgia_mode_roguelite::element_vfx::sys_init_vfx_assets"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;54;3281;0.000004;1;3281;3281;3281;0.000000
system{name="forgia_mode_roguelite::perf_diag::sys_perf_diag"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;12429725;0.013435;17308;718;239;51186;1083.330273
system{name="bevy_post_process::dof::configure_depth_of_field_view_targets"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;5903021;0.006380;18162;325;60;45198;431.990823
system{name="forgia_mode_roguelite::loot_room::sys_collide_demo_incremental"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;7841807;0.008476;17308;453;125;162326;1344.456018
system{name="bevy_picking::window::update_window_hits"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;13300977;0.014376;18163;732;240;203340;1593.034959
plugin cleanup{plugin="bevy_anti_alias::fxaa::FxaaPlugin"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;292;71;0.000000;1;71;71;71;0.000000
system{name="bevy_pbr::cluster::init_global_clusterable_object_meta"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;3181;0.000003;1;3181;3181;3181;0.000000
plugin finish{plugin="bevy_camera::projection::CameraProjectionPlugin"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;272;143;0.000000;1;143;143;143;0.000000
system_commands{name="bevy_render::extract_component::prepare_uniform_components<bevy_pbr::atmosphere::resources::GpuAtmosphere>"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;54;1579522;0.001707;18162;86;53;4007;41.347645
system{name="forgia_mode_roguelite::mushrooms::sys_write_mushroom_sensor"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;5499926;0.005945;17308;317;92;20890;271.586707
system_commands{name="forgia_enemy_nameplate::spawn_or_refresh_on_hit"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;54;2032228;0.002197;18163;111;51;79155;757.310804
system{name="bevy_ui_render::gradient::extract_gradients"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;16043578;0.017341;18163;883;267;98632;842.551454
asset loading{loader="bevy_shader::shader::ShaderLoader" asset="embedded://bevy_pbr\\atmosphere\\render_sky.wgsl"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_asset-0.18.1\src\server\loaders.rs;332;161575;0.000175;2;80787;189;161386;113983.491809
system{name="bevy_pbr::material::add_material_bind_group_allocator<bevy_pbr::extended_material::ExtendedMaterial<bevy_pbr::pbr_material::StandardMaterial, bevy_pbr::decal::forward::ForwardDecalMaterialExt>>"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;17543;0.000019;1;17543;17543;17543;0.000000
system{name="bevy_sprite::text2d::calculate_bounds_text2d"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;14975985;0.016187;18163;824;290;55574;518.568763
plugin build{plugin="forgia_viewmodel::vm_camera::ForgiaViewmodelCameraPlugin"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;529;12920;0.000014;1;12920;12920;12920;0.000000
asset loading{loader="bevy_shader::shader::ShaderLoader" asset="embedded://bevy_pbr\\ssao\\preprocess_depth.wgsl"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_asset-0.18.1\src\server\loaders.rs;332;212400;0.000230;2;106200;107;212293;150038.159473
plugin finish{plugin="forgia_mode_roguelite::progress::PlayerProgressPlugin"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;272;55;0.000000;1;55;55;55;0.000000
system_commands{name="bevy_ui_render::extract_text_shadows"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;54;2175178;0.002351;18162;119;51;9137;98.512713
